word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
minority groups,,dân tộc thiểu số,"small groups within a community that are different because of
their origin, religion, language or traditions","Children from minority groups are sometimes victims of
bullying at school.","Các trẻ em dân tộc thiểu số thỉnh thoảng là nạn nhân của việc bị bắt
nạt ở trường.
8.segregate somebody (from somebody)
Meaning: to separate people of different races, religions or sexes and treat
them in a different way
Example: Although society no longer tolerates the policy of segregating
whites from blacks, many people of different origins live in their own
separate communities.
Dịch đại ý
Segregate somebody (from somebody): cô lập một ai đó
Nghĩa: tách biệt người thuộc chủng tộc khác, có tôn giáo khác hoặc giới
tính khác và cư xử với họ một cách khác biệt
Ví dụ: Mặc dù xã hội không còn chấp nhận các chính sách tách biệt người
da đen với người da trắng, rất nhiều người có nguồn gốc khác sống trong
cộng đồng riêng của họ.
9.todiscriminate (on the grounds of something)
Meaning: to treat one person or group worse/better than another in an
unfair way
Example: It is illegal to discriminate on the grounds of race, sex or
religion.
Dịch đại ý
To discriminate (on the grounds of something): phân biệt (do sự khác biệt
nào đó)
Nghĩa: đối xử không công bằng với một người hoặc một nhóm người tồi
tệ hơn/ tốt hơn người/nhóm người khác
Ví dụ: Phân biệt chủng tộc, giới tính, hoặc tôn giáo là phạm pháp.
10.constitute/be a form of racial/race discrimination
Meaning: to be considered to be treating others in a different way because
they are not of the same colour or race.
Example: Actions which constitute a form of race/racial discrimination
are now outlawed in most countries of the world.
Dịch đại ý
Constitute/be a form of racial/race discrimination: có tính phân biệt chủng
tộc
Nghĩa: được coi là đối xử người khác một cách khác biệt bởi vì họ không
có cùng màu da hoặc chủng tộc.
Ví dụ: Các hành động có tính phân biệt chủng tộc hiện nay đã bị cấm ở
hầu hết các quốc gia trên thế giới",phrase,IELTS
colour bar,,Rào cản màu da,"a social system which does not allow black people the same
rights as white people","South Africa's colour bar made marriages between different
races illegal.","Luật rào cản màu da của Nam Phi khiến cho việc kết hôn giữa các
chủng tộc là bất hợp pháp",phrase,IELTS
asylum seeker,,người xin tị nạn,"a person who has been forced to leave their own country
because they are in danger and who arrives in another country asking to
be allowed to stay there","Hostels for asylum seekers now exist in many European
countries.","Hiện nay, các nhà nghỉ dành cho người xin tị nạn xuất hiện ở rất
nhiều quốc gia Châu Âu",phrase,IELTS
to grant refugee status,,được trao quyền tị nạn,"to be recognised by a government as a person who has been
forced to leave their country because of war, political or religious reasons","As well as helping those in need overseas, governments must
also help those who have been granted refugee status and now live in
the host country.","Ngoài việc giúp đỡ những người cần trợ giúp ở nước ngoài, các
chính phủ phải giúp đỡ những công dân được trao quyền tị nạn hiện đang
sống ở các nước chủ.",phrase,IELTS
todeport somebody,,trục xuất ai đó,"to force somebody to leave a country, usually because they have
broken the law or because they have no legal right to be there","The government refused to grant them refugee status and
deported them.","Chính phủ từ chối cho họ quyền tị nạn và trục xuất họ ra khỏi đất
nước.",phrase,IELTS
to be prejudiced (against/in favour of somebody/something),,"có định kiến
(chống lại/ ủng hộ một người/một việc nào đó)","having an unreasonable dislike of or preference for
somebody/something, especially based on their race, religion, sex, age etc.","Some companies are prejudiced against older applicants during
the interview process.","Một vài công ty có định kiến với những ứng viên cao tuổi trong quá
trình phỏng vấn",phrase,IELTS
to integrate into society,,hòa nhập vào xã hội,"to become accepted as a member of a social group, especially
when a person comes from a different culture","Children from minority groups often find it easy to integrate
into society because they attend schools which are multicultural.","Trẻ em thuộc các dân tộc thiểu số thường xuyên thấy dễ hòa nhập
với xã hội bởi chúng học tại các trường đa văn hóa.",phrase,IELTS
to be socially acceptable,,được xã hội chấp nhận,agreed or approved of by most people in a society,"Smoking in public places is no longer socially acceptable in
many countries.","Hút thuốc ở những nơi công cộng đã không còn được xã hội chấp
thuận ở rất nhiều quốc gia.",phrase,IELTS
to develop social skills,,phát triển các kỹ năng xã hội,"to become better at communicating and interacting in different
situations","Playing team sports at school helps children to develop social
skills which will help them in adult life.","Chơi các môn thể thao nhóm ở trường giúp trẻ em phát triển các kỹ
năng xã hội phục vụ cuộc sống của chúng khi trưởng thành.",phrase,IELTS
to be poverty-stricken,,có hoàn cảnh kinh tế đặc biệt khó khăn,"to be extremely poor, having almost no money","Many non-government organisations work with people who are
poverty-stricken in developing countries.","Rất nhiều các tổ chức phi chính phủ làm việc với những người có
hoàn cảnh kinh tế đặc biệt khó khăn ở các quốc gia phát triển.",phrase,IELTS
economic migrants,,di dân kinh tế,"people who move from their own countries to a new country in
order to find work or to have a better standard of living","As a result of global inequalities of wealth, many economic
migrants have fled to developed countries.","Do sự phân hóa giàu nghèo trên thế giới, nhiều người di dân kinh tế
đã di cư sang các quốc gia phát triển",phrase,IELTS
the consumer society,,xã hội tiêu thụ,"a society in which buying and selling are considered extremely
important","Money and possessions are considered to be more important
than family and friends in today's consumer society.","Tiền bạc và sự sở hữu được coi là quan trọng hơn gia đình và bè bạn
trong xã hội tiêu thụ hiện nay.",phrase,IELTS
an egalitarian society,,xã hội bình đẳng,"a society in which everyone has the same rights and
opportunities","I believe that crime would be reduced if we lived in a more
egalitarian society.","Tôi tin rằng tệ nạn sẽ giảm đi nếu chúng ta sống trong một xã hội
bình đẳng hơn",phrase,IELTS
social mobility,,sự dịch chuyển xã hội,the movement of individuals from one class in society to another,"Free access to education has resulted in greater social mobility
in modern society","Sự tiếp cận giáo dục dễ dàng hơn đã tạo ra sự dịch chuyển tầng lớp
lớn trong xã hội hiện đại ngày nay.",phrase,IELTS
the migration of labour,,sự dịch chuyển lao động,the movement of workers from one place to another,"The migration of labour from the countryside to the cities is a
feature of modern society.","Việc các lao động ở các tỉnh đổ về các thành phố là một đặc tính của
xã hội hiện đại",phrase,IELTS
sweated labour,,lao động chân tay,"hard work that is done for low wages in poor conditions; the
people who do this work","Conditions of sweated labour still exist in many developing
countries.","Các công việc chân tay vẫn còn tồn tại ở rất nhiều quốc gia đang
phát triển",phrase,IELTS
